报销单编号	提单人	提单金额	提单日期	   状态	处理人
20220145	007	3000	20220122	创建	007
20220004	009	20000	20220102	付款结束	
20219999	007	15000	20211201	付款结束	
20219608	008	5000	20211106	付款结束	
20210308	008	2000	20210203	付款结束	
20201402	007	2500	20210306	付款结束	
20221314	007	2000	20210309	创建	007
202120301	009	5000	20210203	付款结束	
20220306	009	5000	20210306	创建	009
20230603	011	20000	20210306	付款结束	
20210306	011	100000	20210306	创建	011
20220103	008	100000	20220306	付款结束	
20210309	007	50000	20230309	付款结束	
20210809	007	1000	20210309	付款结束	
20220309	007	2000	20210309	创建	007
20230609	007	1000	20210309	付款结束	021
20220301	007	5000	20220307	付款结束	
20000405	007	5000	20210306	付款结束	021
20220302	007	5000	20220302	付款结束	
20220609	007	60000	20220101	付款结束	
20210405	007	5000	20210405	创建	007
20230906	007	5000	20230906	创建	007
20210903	007	5000	20210903	创建	007
20220106	008	5000	20220106	创建	008
20220305	007	5000	20220305	创建	007
20230104	007	60000	20230104	创建	007
20260906	008	100000	20260906	付款结束	
20200104	008	60000	20200104	付款结束	
20020820	007	60000	20020820	付款结束	
20200820	008	60000	20200820	创建	008
20190609	008	50000	20190609	创建	008
20180306	007	60000	20180306	创建	007
20170809	008	50000	20170809	付款结束	
20020906	008	50000	20020906	创建	008
20210506	036	50000	20210306	创建	036
20210409	040	50000	20210309	付款结束	
20240307	040	15000	20210309	付款结束	
20300502	007	50000	20220309	创建	007
